id,tipo_equipo,enciende,sufrio_golpe,hace_ruido,sobrecalienta,muy_lento,pantalla_negra,pantalla_azul,no_imprime,atasca_papel,imprime_lineas,succion_bomba,no_enciende_del_todo,reinicia_solo,error_sistema,pitidos_encendido,funciona_sin_bateria,funciona_tras_golpe,muy_lento_post_formato,tipo_falla,reparacion,costo_aprox
17,PC de escritorio,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,Falla de hardware,Revisión y cambio de componente,301.13
18,Laptop,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,963.3
19,PC de escritorio,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,40.06
20,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,192.76
21,Laptop,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,40.12
22,PC de escritorio,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.42
23,Laptop,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,942.82
24,Laptop,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,42.26
25,PC de escritorio,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,40.03
26,Impresora Epson,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,52.01
27,PC de escritorio,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,47.95
28,PC de escritorio,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Falla de hardware,Revisión y cambio de componente,555.59
29,PC de escritorio,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,189.51
30,Laptop,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,42.69
31,Laptop,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,49.33
32,Laptop,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.53
33,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,SO incompatible,Reinstalación con SO compatible,46.97
34,PC de escritorio,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,59.96
35,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,59.29
36,Laptop,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,188.9
37,PC de escritorio,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.83
38,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,194.96
39,PC de escritorio,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,41.37
40,PC de escritorio,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,196.09
41,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,192.18
42,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,57.17
43,PC de escritorio,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,589.56
44,Laptop,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,373.19
45,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,49.32
46,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,57.21
47,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Falla de pantalla,Cambio de pantalla,190.18
48,Laptop,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,40.21
49,Laptop,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,Falla de software,Formateo y reinstalación,45.09
50,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,43.86
51,Laptop,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,Falla de hardware,Revisión y cambio de componente,707.62
52,PC de escritorio,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Falla de pantalla,Cambio de pantalla,185.87
53,Laptop,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de software,Formateo y reinstalación,45.45
54,Laptop,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,Falla de hardware,Revisión y cambio de componente,625.1
55,PC de escritorio,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,601.83
56,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Falla de pantalla,Cambio de pantalla,184.28
57,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de software,Formateo y reinstalación,41.7
58,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,41.95
59,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,45.9
60,PC de escritorio,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Falla de hardware,Revisión y cambio de componente,451.95
61,Impresora Epson,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,44.27
62,Impresora Epson,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,45.08
63,PC de escritorio,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.65
64,Impresora Epson,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,51.26
65,Laptop,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Sobrecalentamiento,Limpieza interna y pasta térmica,44.39
66,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,42.75
67,Laptop,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,803.97
68,Laptop,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,59.26
69,Impresora Epson,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,59.25
70,PC de escritorio,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.62
71,PC de escritorio,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.29
72,Impresora Epson,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,40.97
73,PC de escritorio,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,182.74
74,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.52
75,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,41.92
76,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.7
77,Laptop,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Falla de hardware,Revisión y cambio de componente,473.14
78,PC de escritorio,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,229.06
79,Laptop,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,440.56
80,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de software,Formateo y reinstalación,52.28
81,PC de escritorio,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.48
82,Laptop,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,53.38
83,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,49.98
84,Impresora Epson,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,38.77
85,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,59.65
86,Impresora Epson,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,42.69
87,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.23
88,Laptop,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,406.82
89,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.73
90,PC de escritorio,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,191.65
91,PC de escritorio,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,Falla de hardware,Revisión y cambio de componente,937.66
92,PC de escritorio,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.65
93,Laptop,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,48.72
94,Laptop,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.67
95,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,46.97
96,PC de escritorio,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,56.29
97,Impresora Epson,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,43.96
98,Impresora Epson,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,51.87
99,PC de escritorio,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,43.95
100,PC de escritorio,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,45.11
101,Laptop,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,SO incompatible,Reinstalación con SO compatible,51.41
102,PC de escritorio,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Falla de pantalla,Cambio de pantalla,192.87
103,Impresora Epson,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,54.66
104,Laptop,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.7
105,PC de escritorio,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,199.81
106,PC de escritorio,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,41.44
107,Impresora Epson,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,42.62
108,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,41.31
109,Laptop,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,191.29
110,Impresora Epson,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,49.64
111,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,42.16
112,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,38.67
113,Laptop,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,Falla de hardware,Revisión y cambio de componente,840.84
114,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,197.72
115,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,42.29
116,Impresora Epson,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,39.61
117,PC de escritorio,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,46.77
118,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.79
119,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,198.66
120,Laptop,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.4
121,Impresora Epson,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,56.81
122,PC de escritorio,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,196.43
123,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,Falla de software,Formateo y reinstalación,46.33
124,PC de escritorio,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.62
125,Laptop,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,Falla de hardware,Revisión y cambio de componente,958.08
126,Impresora Epson,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,49.5
127,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,193.36
128,PC de escritorio,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,191.68
129,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,53.24
130,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,187.24
131,Laptop,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,Falla de pantalla,Cambio de pantalla,198.77
132,Laptop,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,40.41
133,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,199.07
134,Impresora Epson,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,45.06
135,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,42.0
136,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,Falla de software,Formateo y reinstalación,43.3
137,Laptop,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,42.62
138,PC de escritorio,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,SO incompatible,Reinstalación con SO compatible,46.75
139,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Falla de pantalla,Cambio de pantalla,194.39
140,PC de escritorio,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,98.06
141,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,46.84
142,Laptop,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,Falla de hardware,Revisión y cambio de componente,357.1
143,PC de escritorio,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,43.13
144,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.92
145,Laptop,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,194.81
146,PC de escritorio,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Falla de hardware,Revisión y cambio de componente,639.5
147,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,191.77
148,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Falla de pantalla,Cambio de pantalla,180.87
149,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,53.06
150,Laptop,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,49.52
151,Laptop,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Falla de pantalla,Cambio de pantalla,180.06
152,Impresora Epson,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,59.84
153,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,SO incompatible,Reinstalación con SO compatible,51.13
154,Laptop,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Falla de software,Formateo y reinstalación,57.15
155,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.53
156,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.42
157,Laptop,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,48.37
158,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,46.89
159,Laptop,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,SO incompatible,Reinstalación con SO compatible,49.47
160,Laptop,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Falla de pantalla,Cambio de pantalla,185.64
161,PC de escritorio,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,901.45
162,PC de escritorio,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,44.29
163,PC de escritorio,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Falla de hardware,Revisión y cambio de componente,367.97
164,PC de escritorio,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,Falla de hardware,Revisión y cambio de componente,544.18
165,PC de escritorio,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,186.04
166,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Falla de software,Formateo y reinstalación,45.61
167,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,40.8
168,Laptop,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,Falla de hardware,Revisión y cambio de componente,711.04
169,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,50.73
170,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,52.66
171,PC de escritorio,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,Falla de software,Formateo y reinstalación,54.6
172,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.39
173,PC de escritorio,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Falla de software,Formateo y reinstalación,50.29
174,Laptop,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.93
175,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,49.11
176,PC de escritorio,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.72
177,Laptop,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Falla de software,Formateo y reinstalación,40.56
178,PC de escritorio,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,Falla de software,Formateo y reinstalación,54.19
179,Impresora Epson,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,53.53
180,Laptop,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,Falla de hardware,Revisión y cambio de componente,329.74
181,Impresora Epson,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,54.28
182,PC de escritorio,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.95
183,Laptop,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,Falla de pantalla,Cambio de pantalla,194.34
184,PC de escritorio,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,53.92
185,Laptop,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Falla de pantalla,Cambio de pantalla,197.12
186,Laptop,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,198.14
187,Laptop,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,41.2
188,Laptop,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,50.87
189,Impresora Epson,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,56.59
190,Laptop,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,Falla de hardware,Revisión y cambio de componente,712.08
191,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.62
192,Laptop,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,188.57
193,PC de escritorio,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,191.78
194,Laptop,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Falla de software,Formateo y reinstalación,56.79
195,Impresora Epson,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,36.04
